number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_classifier,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_num_leaves,state
0,4791669824.226569,2025-11-25 22:24:05.402722,2025-11-25 22:24:05.499031,0 days 00:00:00.096309,,LinearRegression,,,,,,,COMPLETE
1,4791669824.226569,2025-11-25 22:24:05.499407,2025-11-25 22:24:05.537547,0 days 00:00:00.038140,,LinearRegression,,,,,,,COMPLETE
2,4913492367.105517,2025-11-25 22:24:05.537881,2025-11-25 22:24:06.166128,0 days 00:00:00.628247,,DecisionTree,,22.0,,,,,COMPLETE
3,2506299673.3842416,2025-11-25 22:24:06.166503,2025-11-25 22:25:42.814064,0 days 00:01:36.647561,True,RandomForest,,17.0,4.0,9.0,295.0,,COMPLETE
4,4791669824.226569,2025-11-25 22:25:42.814658,2025-11-25 22:25:42.851249,0 days 00:00:00.036591,,LinearRegression,,,,,,,COMPLETE
5,4671993175.224254,2025-11-25 22:25:42.851616,2025-11-25 22:25:43.396461,0 days 00:00:00.544845,,DecisionTree,,16.0,,,,,COMPLETE
6,4913492367.105517,2025-11-25 22:25:43.397015,2025-11-25 22:25:44.033050,0 days 00:00:00.636035,,DecisionTree,,22.0,,,,,COMPLETE
7,2276250023.819995,2025-11-25 22:25:44.033447,2025-11-25 22:25:45.771023,0 days 00:00:01.737576,,LightGBM,0.20950416650821288,,,,,110.0,COMPLETE
8,2243984414.0472918,2025-11-25 22:25:45.771784,2025-11-25 22:25:47.544396,0 days 00:00:01.772612,,LightGBM,0.15132508774407877,,,,,135.0,COMPLETE
9,4791669824.226569,2025-11-25 22:25:47.544903,2025-11-25 22:25:47.608645,0 days 00:00:00.063742,,LinearRegression,,,,,,,COMPLETE
10,2298328032.269695,2025-11-25 22:25:47.609196,2025-11-25 22:25:49.592717,0 days 00:00:01.983521,,LightGBM,0.04513919824304821,,,,,132.0,COMPLETE
11,2295946278.7905436,2025-11-25 22:25:49.593282,2025-11-25 22:25:51.244508,0 days 00:00:01.651226,,LightGBM,0.21768528628709036,,,,,119.0,COMPLETE
12,2186689083.629789,2025-11-25 22:25:51.245001,2025-11-25 22:25:52.369408,0 days 00:00:01.124407,,LightGBM,0.1692421773042159,,,,,70.0,COMPLETE
13,2230802722.502776,2025-11-25 22:25:52.369908,2025-11-25 22:25:53.234781,0 days 00:00:00.864873,,LightGBM,0.1087349105978277,,,,,49.0,COMPLETE
14,2208415501.5263815,2025-11-25 22:25:53.235370,2025-11-25 22:25:54.076323,0 days 00:00:00.840953,,LightGBM,0.1180141301521436,,,,,46.0,COMPLETE
