number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_classifier,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_num_leaves,state
0,4791669824.226569,2025-11-28 01:26:37.556231,2025-11-28 01:26:37.610667,0 days 00:00:00.054436,,LinearRegression,,,,,,,COMPLETE
1,4671993175.224254,2025-11-28 01:26:37.611014,2025-11-28 01:26:38.121361,0 days 00:00:00.510347,,DecisionTree,,16.0,,,,,COMPLETE
2,4913492367.105517,2025-11-28 01:26:38.121783,2025-11-28 01:26:38.698551,0 days 00:00:00.576768,,DecisionTree,,22.0,,,,,COMPLETE
3,4791669824.226569,2025-11-28 01:26:38.698949,2025-11-28 01:26:38.736674,0 days 00:00:00.037725,,LinearRegression,,,,,,,COMPLETE
4,4636598456.658646,2025-11-28 01:26:38.737016,2025-11-28 01:26:38.947223,0 days 00:00:00.210207,,DecisionTree,,6.0,,,,,COMPLETE
5,4791669824.226569,2025-11-28 01:26:38.947786,2025-11-28 01:26:38.986956,0 days 00:00:00.039170,,LinearRegression,,,,,,,COMPLETE
6,4791669824.226569,2025-11-28 01:26:38.987278,2025-11-28 01:26:39.025077,0 days 00:00:00.037799,,LinearRegression,,,,,,,COMPLETE
7,3873461076.538789,2025-11-28 01:26:39.025399,2025-11-28 01:26:39.365958,0 days 00:00:00.340559,,DecisionTree,,10.0,,,,,COMPLETE
8,2207091155.634063,2025-11-28 01:26:39.366783,2025-11-28 01:26:40.619748,0 days 00:00:01.252965,,LightGBM,0.0689358207558993,,,,,122.0,COMPLETE
9,4787565921.002466,2025-11-28 01:26:40.620159,2025-11-28 01:26:41.206510,0 days 00:00:00.586351,,DecisionTree,,18.0,,,,,COMPLETE
10,2222370963.2133327,2025-11-28 01:26:41.206901,2025-11-28 01:26:42.404215,0 days 00:00:01.197314,,LightGBM,0.06398201542822635,,,,,127.0,COMPLETE
11,2229242028.0496254,2025-11-28 01:26:42.404669,2025-11-28 01:26:43.604031,0 days 00:00:01.199362,,LightGBM,0.05941423941724667,,,,,127.0,COMPLETE
12,2210809705.3108015,2025-11-28 01:26:43.604462,2025-11-28 01:26:44.673720,0 days 00:00:01.069258,,LightGBM,0.07498806131093717,,,,,115.0,COMPLETE
13,2202111496.948715,2025-11-28 01:26:44.674133,2025-11-28 01:26:45.508678,0 days 00:00:00.834545,,LightGBM,0.1499736563647142,,,,,89.0,COMPLETE
14,3978788810.688089,2025-11-28 01:26:45.509087,2025-11-28 01:27:21.541192,0 days 00:00:36.032105,False,RandomForest,,30.0,3.0,8.0,53.0,,COMPLETE
15,2243431853.123967,2025-11-28 01:27:21.543447,2025-11-28 01:27:23.811066,0 days 00:00:02.267619,,LightGBM,0.22584480376688526,,,,,50.0,COMPLETE
16,2194277910.6442766,2025-11-28 01:27:23.811490,2025-11-28 01:27:27.846642,0 days 00:00:04.035152,,LightGBM,0.1680776702987819,,,,,69.0,COMPLETE
17,2468744308.226986,2025-11-28 01:27:27.847224,2025-11-28 01:30:44.797905,0 days 00:03:16.950681,True,RandomForest,,30.0,1.0,2.0,270.0,,COMPLETE
